symbol,companyName,sector,industry,marketCapCr,pe,forwardPE,pb,roe,roa,debtToEquity,currentRatio,quickRatio,operatingMargin,profitMargin,dividendYield,trailingEps,forwardEps,pegRatio,quarterlyEarningsGrowth,quarterlyRevenueGrowth,bookValue,currency,lastUpdated
XPROINDIA,Xpro India Limited,Basic Materials,Specialty Chemicals,2905.4,87.18,,3.82,,,0.41,,,5.64,6.11,16.0,14.2,,,,20.4,323.69,INR,2026-09-17 15:02:08
YASHO,Yasho Industries Limited,Basic Materials,Specialty Chemicals,4832.0,81.29,,10.88,,,1.26,,,19.16,6.14,1.0,49.3,,,889.2,54.9,368.25,INR,2026-09-17 15:02:11
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,Healthcare,Medical Care Facilities,10309.92,57.07,34.24,5.79,,,0.15,,,16.16,13.2,10.0,18.75,31.25,,12.0,52.3,184.73,INR,2026-09-17 15:02:14
YESBANK,Yes Bank Limited,Financial Services,Banks - Regional,72821.2,19.02,12.76,1.39,7.47,0.86,,,,30.76,23.18,,1.22,1.82,,32.5,9.0,16.63,INR,2026-09-17 15:02:17
ZAGGLE,Zaggle Prepaid Ocean Services Limited,Technology,Software - Infrastructure,2442.27,19.02,10.97,1.87,,,3.88,,,29.4,6.48,,9.53,16.53,,-32.9,27.5,97.18,INR,2026-09-17 15:02:20
ZEEL,Zee Entertainment Enterprises Limited,Communication Services,Broadcasting,7523.75,36.1,9.83,0.63,,,2.26,,,1.86,2.51,2.58,2.17,7.97,,-46.9,4.5,123.71,INR,2026-09-17 15:02:23
ZENSARTECH,Zensar Technologies Limited,Technology,Information Technology Services,9998.45,12.77,11.59,2.12,,,1.68,,,12.76,13.36,3.41,34.53,38.05,,1.0,8.9,208.17,INR,2026-09-17 15:02:26
ZENTEC,Zen Technologies Limited,Industrials,Aerospace & Defense,15088.78,82.68,32.03,8.39,,,0.95,,,21.79,26.85,6.0,20.29,52.38,,-27.8,-10.5,199.84,INR,2026-09-17 15:02:31
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,Consumer Cyclical,Auto Parts,27877.8,2.73,36.79,7.55,,,1.49,,,9.91,11.86,16.0,898.87,66.58,,-14.6,9.3,324.29,INR,2026-09-17 15:02:32
ZOTA,Zota Health Care Limited,Healthcare,Biotechnology,3887.85,,,5.61,,,0.39,,,-22.66,-16.95,9.0,-30.17,,,,67.6,200.24,INR,2026-09-17 15:02:37
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,113476.03,25.37,23.13,4.22,,,0.42,,,16.44,15.78,9.0,44.84,49.19,,-35.9,22.0,269.43,INR,2026-09-17 15:02:39
